id,english,japanese,grade
1,wolf,【名】オオカミ （【複】wolves）,1
2,bark,【自】（イヌなどが）ほえる,3
3,nest,【名】（鳥・昆虫などの）巣,1
4,raise,【他】（物・体）を上げる；を育てる； （資金）を集める；（問題など）を提起する,2
5,rear,【名】（the）後部 【形】後部の 【他】（人が）（子供や動物）を育てる,3
6,lift,【他】を（持ち）上げる；を高揚させる 【自】上がる；高揚する 【名】上がること；（車などに目的地まで無料で）乗せること,3
7,breed,【自】子を産む 【他】（動植物）を育てる 【名】品種 bred＞bred,3
8,female,【形】【名】女性（の）；雌（の）（⇔male）,2
9,birth,【名】誕生,2
10,dawn,【名】夜明け；（the）（時代などの）始まり,2
11,dig,【他】【自】掘る；探究する dug＞dug ＞digging,2
12,hole,【名】穴,1
13,gap,【名】割れ目；（時間的）空白；（見解などの）相違,4
14,within,【前】の内部に；の範囲内で；～以内に,3
15,inside,【前】の中に[へ；の] 【副】中に 【形】中の；内部の 【名】内側,2
16,while,【接】する間に；の間ずっと；その一方で（≒whereas） 【名】時間,3
17,hunt,【自】【他】狩る；捜す 【名】探索；狩り,2
18,instead,【副】その代わりに,3
19,behind,【副】【前】（の）後ろに；（...よりも）劣って,3
20,guard,【他】を守る；を見張る 【名】警備（員）,4
21,history,【名】歴史(学),5
22,tie,【名】きずな；ネクタイ；ひも；同点 【他】を結ぶ；をつなぐ,4
23,bond,【名】きずな 【他】をくっつける,6
24,rope,【名】なわ；（the 複）秘訣,2
25,culture,【名】文化,6
26,cultivate,【他】を耕す；を栽培する；（技能など）を養う,5
27,plant,【名】植物；工場 【他】を植える,1
28,lawn,【名】芝生,4
29,bush,【名】低木；茂み,3
30,bamboo,【名】竹,4
31,biology,【名】生物学,5
32,unique,【形】特有の（to）,4
33,peculiar,【形】奇妙な；特有の（to）,5
34,matter,【名】問題；【複】事態；物質 【自】重要である,3
35,taste,【名】味；好み（for） 【自】（～な）味がする 【他】の味を見る,3
36,flavor,【名】風味 【他】に風味をつける,3
37,cause,【他】を引き起こす 【名】原因（⇔effect）；根拠；主義,1
38,persuade,【他】を説得する,4
39,fact,【名】事実（⇔fiction）,4
40,treat,【他】を処理する；を治療する；におごる 【名】おごり；もてなし,3
41,pick,【他】【自】（花・果実などを）摘む；選ぶ,2
42,physical,【形】身体の（⇔mental）；物質の,3
43,manual,【形】手の；手を使う 【名】説明書,5
44,gesture,【名】身ぶり,5
45,meaning,【名】意味；意図,4
46,misunderstand,【他】【自】誤解する,4
47,signal,【名】合図；信号（機） 【他】に合図する,3
48,embarrass,【他】を当惑させる,5
49,foreign,【形】外国の；異質の,2
50,alien,【形】外国（人）の；異質な 【名】外国人；宇宙人,6
51,exotic,【形】異国風の；（動植物などが）外来の,5
52,overseas,【副】海外へ〔で〕 【形】海外の,4
53,domestic,【形】国内の；家庭の,3
54,refugee,【名】難民,6
55,count,【他】を数える 【自】重要である 【名】計算,2
56,counterpart,【名】（対の）片方；似たもの,6
57,numerous,【形】多数の,4
58,calculate,【他】を計算する；と見積もる,3
59,index,【名】索引；指標,4
60,common,【形】普通の；共通の,2
61,familiar,【形】（人に）なじみのある（to）；（物事に）精通した（with）,4
62,mutual,【形】相互の；共通の,5
63,puzzle,【他】を困らせる（≒embarrass） 【名】わからないこと；パズル,4
64,reply,【自】【他】答える（to） 【名】答え,1
65,role,【名】役割（≒part）,4
66,roll,【自】転がる 【他】を転がす；を丸める,2
67,healthy,【形】健康な,3
68,mammal,【名】哺乳動物,4
69,produce,【他】を生産する；をもたらす 【名】農産物,3
